##;ENG;ENG;ENG;ENG;ENG;ENG;ENG;ENG;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV1268;Zirnoe;Zirnoe;Zirnoe;Zirnoe;Zirnoe;Zirnoe;Zirnoe;Zirnoe;;;X;
PROV1269;Svetlyj Jar;Svetlyj Jar;Svetlyj Jar;Svetlyj Jar;Svetlyj Jar;Svetlyj Jar;Svetlyj Jar;Svetlyj Jar;;;X;
PROV1270;Serafimovic;Serafimovic;Serafimovic;Serafimovic;Serafimovic;Serafimovic;Serafimovic;Serafimovic;;;X;
PROV1271;Mihajlovka;Mihajlovka;Mihajlovka;Mihajlovka;Mihajlovka;Mihajlovka;Mihajlovka;Mihajlovka;;;X;
PROV1272;Kotovo;Kotovo;Kotovo;Kotovo;Kotovo;Kotovo;Kotovo;Kotovo;;;X;
PROV1273;Nikolaevskaja Sloboda;Nikolaevskaja Sloboda;Nikolaevskaja Sloboda;Nikolaevskaja Sloboda;Nikolaevskaja Sloboda;Nikolaevskaja Sloboda;Nikolaevskaja Sloboda;Nikolaevskaja Sloboda;;;X;
PROV1274;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;;;X;
PROV1275;Sahty;Sahty;Sahty;Sahty;Sahty;Sahty;Sahty;Sahty;;;X;
PROV1276;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;;;X;
PROV1277;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;;;X;
PROV1278;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;;;X;
PROV1279;Kazanskaja;Kazanskaja;Kazanskaja;Kazanskaja;Kazanskaja;Kazanskaja;Kazanskaja;Kazanskaja;;;X;
PROV1280;Kasary;Kasary;Kasary;Kasary;Kasary;Kasary;Kasary;Kasary;;;X;
PROV1281;Kirov;Kirov;Kirov;Kirov;Kirov;Kirov;Kirov;Kirov;;;X;
PROV1282;Buinsk;Buinsk;Buinsk;Buinsk;Buinsk;Buinsk;Buinsk;Buinsk;;;X;
PROV1283;Ceboksary;Ceboksary;Ceboksary;Ceboksary;Ceboksary;Ceboksary;Ceboksary;Ceboksary;;;X;
PROV1284;Kazan';Kazan';Kazan';Kazan';Kazan';Kazan';Kazan';Kazan';;;X;
PROV1285;Nabereznyje Celny;Nabereznyje Celny;Nabereznyje Celny;Nabereznyje Celny;Nabereznyje Celny;Nabereznyje Celny;Nabereznyje Celny;Nabereznyje Celny;;;X;
PROV1286;Izevsk;Izevsk;Izevsk;Izevsk;Izevsk;Izevsk;Izevsk;Izevsk;;;X;
PROV1287;Joskar-Ola;Joskar-Ola;Joskar-Ola;Joskar-Ola;Joskar-Ola;Joskar-Ola;Joskar-Ola;Joskar-Ola;;;X;
PROV1288;Al'met'evo;Al'met'evo;Al'met'evo;Al'met'evo;Al'met'evo;Al'met'evo;Al'met'evo;Al'met'evo;;;X;
PROV1289;Elabuga;Elabuga;Elabuga;Elabuga;Elabuga;Elabuga;Elabuga;Elabuga;;;X;
PROV1290;Nurlat;Nurlat;Nurlat;Nurlat;Nurlat;Nurlat;Nurlat;Nurlat;;;X;
PROV1291;Vjatskie Poljany;Vjatskie Poljany;Vjatskie Poljany;Vjatskie Poljany;Vjatskie Poljany;Vjatskie Poljany;Vjatskie Poljany;Vjatskie Poljany;;;X;
PROV1292;Slobodskoj;Slobodskoj;Slobodskoj;Slobodskoj;Slobodskoj;Slobodskoj;Slobodskoj;Slobodskoj;;;X;
PROV1293;Kotel'nic;Kotel'nic;Kotel'nic;Kotel'nic;Kotel'nic;Kotel'nic;Kotel'nic;Kotel'nic;;;X;
PROV1294;Jaransk;Jaransk;Jaransk;Jaransk;Jaransk;Jaransk;Jaransk;Jaransk;;;X;
PROV1295;Luza;Luza;Luza;Luza;Luza;Luza;Luza;Luza;;;X;
PROV1296;Glazov;Glazov;Glazov;Glazov;Glazov;Glazov;Glazov;Glazov;;;X;
PROV1297;Mozga;Mozga;Mozga;Mozga;Mozga;Mozga;Mozga;Mozga;;;X;
PROV1298;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;;;X;
PROV1299;Stavropol';Stavropol';Stavropol';Stavropol';Stavropol';Stavropol';Stavropol';Stavropol';;;X;
PROV1300;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;;;X;
PROV1301;Melekess;Melekess;Melekess;Melekess;Melekess;Melekess;Melekess;Melekess;;;X;
PROV1302;Inza;Inza;Inza;Inza;Inza;Inza;Inza;Inza;;;X;
PROV1303;Barys;Barys;Barys;Barys;Barys;Barys;Barys;Barys;;;X;
PROV1304;Syzran';Syzran';Syzran';Syzran';Syzran';Syzran';Syzran';Syzran';;;X;
PROV1305;Otradnoe;Otradnoe;Otradnoe;Otradnoe;Otradnoe;Otradnoe;Otradnoe;Otradnoe;;;X;
PROV1306;Suhodol;Suhodol;Suhodol;Suhodol;Suhodol;Suhodol;Suhodol;Suhodol;;;X;
PROV1307;Pestravka;Pestravka;Pestravka;Pestravka;Pestravka;Pestravka;Pestravka;Pestravka;;;X;
PROV1308;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;;;X;
PROV1309;Solikamsk;Solikamsk;Solikamsk;Solikamsk;Solikamsk;Solikamsk;Solikamsk;Solikamsk;;;X;
PROV1310;Perm';Perm';Perm';Perm';Perm';Perm';Perm';Perm';;;X;
PROV1311;Krasnokamsk;Krasnokamsk;Krasnokamsk;Krasnokamsk;Krasnokamsk;Krasnokamsk;Krasnokamsk;Krasnokamsk;;;X;
PROV1312;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;;;X;
PROV1313;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;;;X;
PROV1314;Batajsk;Batajsk;Batajsk;Batajsk;Batajsk;Batajsk;Batajsk;Batajsk;;;X;
PROV1315;Zernovoj;Zernovoj;Zernovoj;Zernovoj;Zernovoj;Zernovoj;Zernovoj;Zernovoj;;;X;
PROV1316;Orlovskaja;Orlovskaja;Orlovskaja;Orlovskaja;Orlovskaja;Orlovskaja;Orlovskaja;Orlovskaja;;;X;
PROV1317;Remontnoe;Remontnoe;Remontnoe;Remontnoe;Remontnoe;Remontnoe;Remontnoe;Remontnoe;;;X;
PROV1318;Elista;Elista;Elista;Elista;Elista;Elista;Elista;Elista;;;X;
PROV1319;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;;;X;
PROV1320;Astrahan';Astrahan';Astrahan';Astrahan';Astrahan';Astrahan';Astrahan';Astrahan';;;X;
PROV1321;Vorosilovsk;Vorosilovsk;Vorosilovsk;Vorosilovsk;Vorosilovsk;Vorosilovsk;Vorosilovsk;Vorosilovsk;;;X;
PROV1322;Nal'cik;Nal'cik;Nal'cik;Nal'cik;Nal'cik;Nal'cik;Nal'cik;Nal'cik;;;X;
PROV1323;Sulimov;Sulimov;Sulimov;Sulimov;Sulimov;Sulimov;Sulimov;Sulimov;;;X;
PROV1324;Groznyj;Groznyj;Groznyj;Groznyj;Groznyj;Groznyj;Groznyj;Groznyj;;;X;
PROV1325;Ordzonikidze;Ordzonikidze;Ordzonikidze;Ordzonikidze;Ordzonikidze;Ordzonikidze;Ordzonikidze;Ordzonikidze;;;X;
PROV1326;Mahackala;Mahackala;Mahackala;Mahackala;Mahackala;Mahackala;Mahackala;Mahackala;;;X;
PROV1327;Nazran';Nazran';Nazran';Nazran';Nazran';Nazran';Nazran';Nazran';;;X;
PROV1328;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;;;X;
PROV1329;Derbent;Derbent;Derbent;Derbent;Derbent;Derbent;Derbent;Derbent;;;X;
PROV1330;Kizljar;Kizljar;Kizljar;Kizljar;Kizljar;Kizljar;Kizljar;Kizljar;;;X;
PROV1331;Selkovskaja;Selkovskaja;Selkovskaja;Selkovskaja;Selkovskaja;Selkovskaja;Selkovskaja;Selkovskaja;;;X;
PROV1332;Tyrnyauz;Tyrnyauz;Tyrnyauz;Tyrnyauz;Tyrnyauz;Tyrnyauz;Tyrnyauz;Tyrnyauz;;;X;
PROV1333;Teberda;Teberda;Teberda;Teberda;Teberda;Teberda;Teberda;Teberda;;;X;
PROV1334;Budënnovsk;Budënnovsk;Budënnovsk;Budënnovsk;Budënnovsk;Budënnovsk;Budënnovsk;Budënnovsk;;;X;
PROV1335;Petrovskoe;Petrovskoe;Petrovskoe;Petrovskoe;Petrovskoe;Petrovskoe;Petrovskoe;Petrovskoe;;;X;
PROV1336;Nevinnomyssk;Nevinnomyssk;Nevinnomyssk;Nevinnomyssk;Nevinnomyssk;Nevinnomyssk;Nevinnomyssk;Nevinnomyssk;;;X;
PROV1337;Basanta;Basanta;Basanta;Basanta;Basanta;Basanta;Basanta;Basanta;;;X;
PROV1338;Lagan';Lagan';Lagan';Lagan';Lagan';Lagan';Lagan';Lagan';;;X;
PROV1339;Sadovoe;Sadovoe;Sadovoe;Sadovoe;Sadovoe;Sadovoe;Sadovoe;Sadovoe;;;X;
PROV1340;Ikrjanoe;Ikrjanoe;Ikrjanoe;Ikrjanoe;Ikrjanoe;Ikrjanoe;Ikrjanoe;Ikrjanoe;;;X;
PROV1341;Cernyj Jar;Cernyj Jar;Cernyj Jar;Cernyj Jar;Cernyj Jar;Cernyj Jar;Cernyj Jar;Cernyj Jar;;;X;
PROV1342;Vladimirovka;Vladimirovka;Vladimirovka;Vladimirovka;Vladimirovka;Vladimirovka;Vladimirovka;Vladimirovka;;;X;
PROV1343;Hunzah;Hunzah;Hunzah;Hunzah;Hunzah;Hunzah;Hunzah;Hunzah;;;X;
PROV1344;Levasi;Levasi;Levasi;Levasi;Levasi;Levasi;Levasi;Levasi;;;X;
PROV1345;Izberbas;Izberbas;Izberbas;Izberbas;Izberbas;Izberbas;Izberbas;Izberbas;;;X;
PROV1346;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;;;X;
PROV1347;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;;;X;
PROV1348;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;;;X;
PROV1349;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;;;X;
PROV1350;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;;;X;
PROV1351;Soci;Soci;Soci;Soci;Soci;Soci;Soci;Soci;;;X;
PROV1352;Armavir;Armavir;Armavir;Armavir;Armavir;Armavir;Armavir;Armavir;;;X;
PROV1353;Ejsk;Ejsk;Ejsk;Ejsk;Ejsk;Ejsk;Ejsk;Ejsk;;;X;
PROV1354;Slavjanskaja;Slavjanskaja;Slavjanskaja;Slavjanskaja;Slavjanskaja;Slavjanskaja;Slavjanskaja;Slavjanskaja;;;X;
PROV1355;Krymskaja;Krymskaja;Krymskaja;Krymskaja;Krymskaja;Krymskaja;Krymskaja;Krymskaja;;;X;
PROV1356;Belorecenskaja;Belorecenskaja;Belorecenskaja;Belorecenskaja;Belorecenskaja;Belorecenskaja;Belorecenskaja;Belorecenskaja;;;X;
PROV1357;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;;;X;
PROV1358;Sokhumi;Sokhumi;Sokhumi;Sokhumi;Sokhumi;Sokhumi;Sokhumi;Sokhumi;;;X;
PROV1359;Kutaisi;Kutaisi;Kutaisi;Kutaisi;Kutaisi;Kutaisi;Kutaisi;Kutaisi;;;X;
PROV1360;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;;;X;
PROV1361;Rustavi;Rustavi;Rustavi;Rustavi;Rustavi;Rustavi;Rustavi;Rustavi;;;X;
PROV1362;Batumi;Batumi;Batumi;Batumi;Batumi;Batumi;Batumi;Batumi;;;X;
PROV1363;Poti;Poti;Poti;Poti;Poti;Poti;Poti;Poti;;;X;
PROV1364;Samt'redia;Samt'redia;Samt'redia;Samt'redia;Samt'redia;Samt'redia;Samt'redia;Samt'redia;;;X;
PROV1365;Axalkalaki;Axalkalaki;Axalkalaki;Axalkalaki;Axalkalaki;Axalkalaki;Axalkalaki;Axalkalaki;;;X;
PROV1366;Gori;Gori;Gori;Gori;Gori;Gori;Gori;Gori;;;X;
PROV1367;Gagra;Gagra;Gagra;Gagra;Gagra;Gagra;Gagra;Gagra;;;X;
PROV1368;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;;;X;
PROV1369;Telavi;Telavi;Telavi;Telavi;Telavi;Telavi;Telavi;Telavi;;;X;
PROV1370;Erewan;Erewan;Erewan;Erewan;Erewan;Erewan;Erewan;Erewan;;;X;
PROV1371;Xankendi;Xankendi;Xankendi;Xankendi;Xankendi;Xankendi;Xankendi;Xankendi;;;X;
PROV1372;Baki;Baki;Baki;Baki;Baki;Baki;Baki;Baki;;;X;
PROV1373;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;;;X;
PROV1374;Kirovabad;Kirovabad;Kirovabad;Kirovabad;Kirovabad;Kirovabad;Kirovabad;Kirovabad;;;X;
PROV1375;Lenkeran;Lenkeran;Lenkeran;Lenkeran;Lenkeran;Lenkeran;Lenkeran;Lenkeran;;;X;
PROV1376;Kapan;Kapan;Kapan;Kapan;Kapan;Kapan;Kapan;Kapan;;;X;
PROV1377;Füzuli;Füzuli;Füzuli;Füzuli;Füzuli;Füzuli;Füzuli;Füzuli;;;X;
PROV1378;Yevlax;Yevlax;Yevlax;Yevlax;Yevlax;Yevlax;Yevlax;Yevlax;;;X;
PROV1379;Nuxa;Nuxa;Nuxa;Nuxa;Nuxa;Nuxa;Nuxa;Nuxa;;;X;
PROV1380;Göycay;Göycay;Göycay;Göycay;Göycay;Göycay;Göycay;Göycay;;;X;
PROV1381;Xacmaz;Xacmaz;Xacmaz;Xacmaz;Xacmaz;Xacmaz;Xacmaz;Xacmaz;;;X;
PROV1382;Leninakan;Leninakan;Leninakan;Leninakan;Leninakan;Leninakan;Leninakan;Leninakan;;;X;
PROV1383;Zaqatala;Zaqatala;Zaqatala;Zaqatala;Zaqatala;Zaqatala;Zaqatala;Zaqatala;;;X;
PROV1384;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;;;X;
PROV1385;Ijewan;Ijewan;Ijewan;Ijewan;Ijewan;Ijewan;Ijewan;Ijewan;;;X;
PROV1386;Daskesen;Daskesen;Daskesen;Daskesen;Daskesen;Daskesen;Daskesen;Daskesen;;;X;
PROV1387;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Sadiqli;;;X;
PROV1388;Lacin;Lacin;Lacin;Lacin;Lacin;Lacin;Lacin;Lacin;;;X;
PROV1389;Salyan;Salyan;Salyan;Salyan;Salyan;Salyan;Salyan;Salyan;;;X;
PROV1390;Kungur;Kungur;Kungur;Kungur;Kungur;Kungur;Kungur;Kungur;;;X;
PROV1391;Lys'va;Lys'va;Lys'va;Lys'va;Lys'va;Lys'va;Lys'va;Lys'va;;;X;
PROV1392;Cernuska;Cernuska;Cernuska;Cernuska;Cernuska;Cernuska;Cernuska;Cernuska;;;X;
PROV1393;Kudymkar;Kudymkar;Kudymkar;Kudymkar;Kudymkar;Kudymkar;Kudymkar;Kudymkar;;;X;
PROV1394;Verescaginoskaja;Verescaginoskaja;Verescaginoskaja;Verescaginoskaja;Verescaginoskaja;Verescaginoskaja;Verescaginoskaja;Verescaginoskaja;;;X;
PROV1395;Cerdyn';Cerdyn';Cerdyn';Cerdyn';Cerdyn';Cerdyn';Cerdyn';Cerdyn';;;X;
PROV1396;Ufa;Ufa;Ufa;Ufa;Ufa;Ufa;Ufa;Ufa;;;X;
PROV1397;Novoorsk;Novoorsk;Novoorsk;Novoorsk;Novoorsk;Novoorsk;Novoorsk;Novoorsk;;;X;
PROV1398;Orenburg;Orenburg;Orenburg;Orenburg;Orenburg;Orenburg;Orenburg;Orenburg;;;X;
PROV1399;Orsk;Orsk;Orsk;Orsk;Orsk;Orsk;Orsk;Orsk;;;X;
PROV1400;Buzuluk;Buzuluk;Buzuluk;Buzuluk;Buzuluk;Buzuluk;Buzuluk;Buzuluk;;;X;
PROV1401;Sorocinskoe;Sorocinskoe;Sorocinskoe;Sorocinskoe;Sorocinskoe;Sorocinskoe;Sorocinskoe;Sorocinskoe;;;X;
PROV1402;Ileckaja Zascita;Ileckaja Zascita;Ileckaja Zascita;Ileckaja Zascita;Ileckaja Zascita;Ileckaja Zascita;Ileckaja Zascita;Ileckaja Zascita;;;X;
PROV1403;Isimbaj;Isimbaj;Isimbaj;Isimbaj;Isimbaj;Isimbaj;Isimbaj;Isimbaj;;;X;
PROV1404;Beloreck;Beloreck;Beloreck;Beloreck;Beloreck;Beloreck;Beloreck;Beloreck;;;X;
PROV1405;Tujmazy;Tujmazy;Tujmazy;Tujmazy;Tujmazy;Tujmazy;Tujmazy;Tujmazy;;;X;
PROV1406;Belebej;Belebej;Belebej;Belebej;Belebej;Belebej;Belebej;Belebej;;;X;
PROV1407;Janaul;Janaul;Janaul;Janaul;Janaul;Janaul;Janaul;Janaul;;;X;
PROV1408;Davlekanovo;Davlekanovo;Davlekanovo;Davlekanovo;Davlekanovo;Davlekanovo;Davlekanovo;Davlekanovo;;;X;
PROV1409;Iglino;Iglino;Iglino;Iglino;Iglino;Iglino;Iglino;Iglino;;;X;
PROV1410;Novosergievka;Novosergievka;Novosergievka;Novosergievka;Novosergievka;Novosergievka;Novosergievka;Novosergievka;;;X;
PROV1411;Sarlyk;Sarlyk;Sarlyk;Sarlyk;Sarlyk;Sarlyk;Sarlyk;Sarlyk;;;X;
PROV1412;Isjangulovo;Isjangulovo;Isjangulovo;Isjangulovo;Isjangulovo;Isjangulovo;Isjangulovo;Isjangulovo;;;X;
PROV1413;Celjabinsk;Celjabinsk;Celjabinsk;Celjabinsk;Celjabinsk;Celjabinsk;Celjabinsk;Celjabinsk;;;X;
PROV1414;Magnitogorsk;Magnitogorsk;Magnitogorsk;Magnitogorsk;Magnitogorsk;Magnitogorsk;Magnitogorsk;Magnitogorsk;;;X;
PROV1415;Zlatoust;Zlatoust;Zlatoust;Zlatoust;Zlatoust;Zlatoust;Zlatoust;Zlatoust;;;X;
PROV1416;Troick;Troick;Troick;Troick;Troick;Troick;Troick;Troick;;;X;
PROV1417;Kartaly;Kartaly;Kartaly;Kartaly;Kartaly;Kartaly;Kartaly;Kartaly;;;X;
PROV1418;Verhnij Ufalej;Verhnij Ufalej;Verhnij Ufalej;Verhnij Ufalej;Verhnij Ufalej;Verhnij Ufalej;Verhnij Ufalej;Verhnij Ufalej;;;X;
PROV1419;Kurgan;Kurgan;Kurgan;Kurgan;Kurgan;Kurgan;Kurgan;Kurgan;;;X;
PROV1420;Sadrinsk;Sadrinsk;Sadrinsk;Sadrinsk;Sadrinsk;Sadrinsk;Sadrinsk;Sadrinsk;;;X;
PROV1421;Sumiha;Sumiha;Sumiha;Sumiha;Sumiha;Sumiha;Sumiha;Sumiha;;;X;
PROV1422;Kurtamys;Kurtamys;Kurtamys;Kurtamys;Kurtamys;Kurtamys;Kurtamys;Kurtamys;;;X;
PROV1423;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;;;X;
PROV1424;Niznij Tagil;Niznij Tagil;Niznij Tagil;Niznij Tagil;Niznij Tagil;Niznij Tagil;Niznij Tagil;Niznij Tagil;;;X;
PROV1425;Kamensk;Kamensk;Kamensk;Kamensk;Kamensk;Kamensk;Kamensk;Kamensk;;;X;
PROV1426;Pervoural'sk;Pervoural'sk;Pervoural'sk;Pervoural'sk;Pervoural'sk;Pervoural'sk;Pervoural'sk;Pervoural'sk;;;X;
PROV1427;Kabakovsk;Kabakovsk;Kabakovsk;Kabakovsk;Kabakovsk;Kabakovsk;Kabakovsk;Kabakovsk;;;X;
PROV1428;Verhnjaja Salda;Verhnjaja Salda;Verhnjaja Salda;Verhnjaja Salda;Verhnjaja Salda;Verhnjaja Salda;Verhnjaja Salda;Verhnjaja Salda;;;X;
PROV1429;Irbit;Irbit;Irbit;Irbit;Irbit;Irbit;Irbit;Irbit;;;X;
PROV1430;Ivdel';Ivdel';Ivdel';Ivdel';Ivdel';Ivdel';Ivdel';Ivdel';;;X;
PROV1431;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;;;X;
PROV1432;Segarskoe;Segarskoe;Segarskoe;Segarskoe;Segarskoe;Segarskoe;Segarskoe;Segarskoe;;;X;
PROV1433;Asino;Asino;Asino;Asino;Asino;Asino;Asino;Asino;;;X;
PROV1434;Kolpasevo;Kolpasevo;Kolpasevo;Kolpasevo;Kolpasevo;Kolpasevo;Kolpasevo;Kolpasevo;;;X;
PROV1435;Kargasok;Kargasok;Kargasok;Kargasok;Kargasok;Kargasok;Kargasok;Kargasok;;;X;
PROV1436;Salehard;Salehard;Salehard;Salehard;Salehard;Salehard;Salehard;Salehard;;;X;
PROV1437;Uraj;Uraj;Uraj;Uraj;Uraj;Uraj;Uraj;Uraj;;;X;
PROV1438;Surgut;Surgut;Surgut;Surgut;Surgut;Surgut;Surgut;Surgut;;;X;
PROV1439;Ostjako-Vogul'sk;Ostjako-Vogul'sk;Ostjako-Vogul'sk;Ostjako-Vogul'sk;Ostjako-Vogul'sk;Ostjako-Vogul'sk;Ostjako-Vogul'sk;Ostjako-Vogul'sk;;;X;
PROV1440;Tjumen';Tjumen';Tjumen';Tjumen';Tjumen';Tjumen';Tjumen';Tjumen';;;X;
PROV1441;Tobol'sk;Tobol'sk;Tobol'sk;Tobol'sk;Tobol'sk;Tobol'sk;Tobol'sk;Tobol'sk;;;X;
PROV1442;Labytnangi;Labytnangi;Labytnangi;Labytnangi;Labytnangi;Labytnangi;Labytnangi;Labytnangi;;;X;
PROV1443;Tarko-Sale;Tarko-Sale;Tarko-Sale;Tarko-Sale;Tarko-Sale;Tarko-Sale;Tarko-Sale;Tarko-Sale;;;X;
PROV1444;Niznevartovskoe;Niznevartovskoe;Niznevartovskoe;Niznevartovskoe;Niznevartovskoe;Niznevartovskoe;Niznevartovskoe;Niznevartovskoe;;;X;
PROV1445;Berezovo;Berezovo;Berezovo;Berezovo;Berezovo;Berezovo;Berezovo;Berezovo;;;X;
PROV1446;Kazym;Kazym;Kazym;Kazym;Kazym;Kazym;Kazym;Kazym;;;X;
PROV1447;Isim;Isim;Isim;Isim;Isim;Isim;Isim;Isim;;;X;
PROV1448;Jarkovo;Jarkovo;Jarkovo;Jarkovo;Jarkovo;Jarkovo;Jarkovo;Jarkovo;;;X;
PROV1449;Verhnefilatovo;Verhnefilatovo;Verhnefilatovo;Verhnefilatovo;Verhnefilatovo;Verhnefilatovo;Verhnefilatovo;Verhnefilatovo;;;X;
PROV1450;Abatskoe;Abatskoe;Abatskoe;Abatskoe;Abatskoe;Abatskoe;Abatskoe;Abatskoe;;;X;
PROV1451;Uvat;Uvat;Uvat;Uvat;Uvat;Uvat;Uvat;Uvat;;;X;
PROV1452;Aromasevo;Aromasevo;Aromasevo;Aromasevo;Aromasevo;Aromasevo;Aromasevo;Aromasevo;;;X;
PROV1453;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;;;X;
PROV1454;Tara;Tara;Tara;Tara;Tara;Tara;Tara;Tara;;;X;
PROV1455;Isil'kul';Isil'kul';Isil'kul';Isil'kul';Isil'kul';Isil'kul';Isil'kul';Isil'kul';;;X;
PROV1456;Tavriceskoe;Tavriceskoe;Tavriceskoe;Tavriceskoe;Tavriceskoe;Tavriceskoe;Tavriceskoe;Tavriceskoe;;;X;
PROV1457;Tjukalinsk;Tjukalinsk;Tjukalinsk;Tjukalinsk;Tjukalinsk;Tjukalinsk;Tjukalinsk;Tjukalinsk;;;X;
PROV1458;Poltavka;Poltavka;Poltavka;Poltavka;Poltavka;Poltavka;Poltavka;Poltavka;;;X;
PROV1459;Butakovo;Butakovo;Butakovo;Butakovo;Butakovo;Butakovo;Butakovo;Butakovo;;;X;
PROV1460;Barnaul;Barnaul;Barnaul;Barnaul;Barnaul;Barnaul;Barnaul;Barnaul;;;X;
PROV1461;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;Kujbysev;;;X;
PROV1462;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;;;X;
PROV1463;Bijsk;Bijsk;Bijsk;Bijsk;Bijsk;Bijsk;Bijsk;Bijsk;;;X;
PROV1464;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;;;X;
PROV1465;Stalinsk;Stalinsk;Stalinsk;Stalinsk;Stalinsk;Stalinsk;Stalinsk;Stalinsk;;;X;
PROV1466;Ojrot-Tura;Ojrot-Tura;Ojrot-Tura;Ojrot-Tura;Ojrot-Tura;Ojrot-Tura;Ojrot-Tura;Ojrot-Tura;;;X;
PROV1467;Abakan;Abakan;Abakan;Abakan;Abakan;Abakan;Abakan;Abakan;;;X;
PROV1468;Abaza;Abaza;Abaza;Abaza;Abaza;Abaza;Abaza;Abaza;;;X;
PROV1469;Cernogorsk;Cernogorsk;Cernogorsk;Cernogorsk;Cernogorsk;Cernogorsk;Cernogorsk;Cernogorsk;;;X;
PROV1470;Kos-Agac;Kos-Agac;Kos-Agac;Kos-Agac;Kos-Agac;Kos-Agac;Kos-Agac;Kos-Agac;;;X;
PROV1471;Ongudaj;Ongudaj;Ongudaj;Ongudaj;Ongudaj;Ongudaj;Ongudaj;Ongudaj;;;X;
PROV1472;Mariinsk;Mariinsk;Mariinsk;Mariinsk;Mariinsk;Mariinsk;Mariinsk;Mariinsk;;;X;
PROV1473;Tisul';Tisul';Tisul';Tisul';Tisul';Tisul';Tisul';Tisul';;;X;
PROV1474;Myski;Myski;Myski;Myski;Myski;Myski;Myski;Myski;;;X;
PROV1475;Sereges;Sereges;Sereges;Sereges;Sereges;Sereges;Sereges;Sereges;;;X;
PROV1476;Rubcovsk;Rubcovsk;Rubcovsk;Rubcovsk;Rubcovsk;Rubcovsk;Rubcovsk;Rubcovsk;;;X;
PROV1477;Kamen'-na-Obi;Kamen'-na-Obi;Kamen'-na-Obi;Kamen'-na-Obi;Kamen'-na-Obi;Kamen'-na-Obi;Kamen'-na-Obi;Kamen'-na-Obi;;;X;
