##;ENG;FRA;ITA;SPA;GER;POL;;;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV2462;West Somali Basin;West Somali Basin;West Somali Basin;West Somali Basin;West Somali Basin;West Somali Basin;West Somali Basin;West Somali Basin;;;X;
PROV2463;Gulf of Antalya;Gulf of Antalya;Gulf of Antalya;Gulf of Antalya;Gulf of Antalya;Gulf of Antalya;Gulf of Antalya;Gulf of Antalya;;;X;
PROV2464;North Aegean Sea;North Aegean Sea;North Aegean Sea;North Aegean Sea;North Aegean Sea;North Aegean Sea;North Aegean Sea;North Aegean Sea;;;X;
PROV2465;Western Black Sea;Western Black Sea;Western Black Sea;Western Black Sea;Western Black Sea;Western Black Sea;Western Black Sea;Western Black Sea;;;X;
PROV2466;Karkinit Bay;Karkinit Bay;Karkinit Bay;Karkinit Bay;Karkinit Bay;Karkinit Bay;Karkinit Bay;Karkinit Bay;;;X;
PROV2467;Eastern Black Sea;Eastern Black Sea;Eastern Black Sea;Eastern Black Sea;Eastern Black Sea;Eastern Black Sea;Eastern Black Sea;Eastern Black Sea;;;X;
PROV2468;Sea of Azov;Sea of Azov;Sea of Azov;Sea of Azov;Sea of Azov;Sea of Azov;Sea of Azov;Sea of Azov;;;X;
PROV2469;Itabuna;Itabuna;Itabuna;Itabuna;Itabuna;Itabuna;Itabuna;Itabuna;;;X;
PROV2470;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;Naxçivan;;;X;
PROV2471;Cromarty Firth;Cromarty Firth;Cromarty Firth;Cromarty Firth;Cromarty Firth;Cromarty Firth;Cromarty Firth;Cromarty Firth;;;X;
PROV2472;Waddenzee;Waddenzee;Waddenzee;Waddenzee;Waddenzee;Waddenzee;Waddenzee;Waddenzee;;;X;
PROV2473;Helgoland Bight;Helgoland Bight;Helgoland Bight;Helgoland Bight;Helgoland Bight;Helgoland Bight;Helgoland Bight;Helgoland Bight;;;X;
PROV2474;Skagerrak;Skagerrak;Skagerrak;Skagerrak;Skagerrak;Skagerrak;Skagerrak;Skagerrak;;;X;
PROV2475;Kattegat;Kattegat;Kattegat;Kattegat;Kattegat;Kattegat;Kattegat;Kattegat;;;X;
PROV2476;Store Bält;Store Bält;Store Bält;Store Bält;Store Bält;Store Bält;Store Bält;Store Bält;;;X;
PROV2477;Pomeranian Bay;Pomeranian Bay;Pomeranian Bay;Pomeranian Bay;Pomeranian Bay;Pomeranian Bay;Pomeranian Bay;Pomeranian Bay;;;X;
PROV2478;Gulf of Danzig;Gulf of Danzig;Gulf of Danzig;Gulf of Danzig;Gulf of Danzig;Gulf of Danzig;Gulf of Danzig;Gulf of Danzig;;;X;
PROV2479;Kalmar Sound;Kalmar Sound;Kalmar Sound;Kalmar Sound;Kalmar Sound;Kalmar Sound;Kalmar Sound;Kalmar Sound;;;X;
PROV2480;Courland Lagoon;Courland Lagoon;Courland Lagoon;Courland Lagoon;Courland Lagoon;Courland Lagoon;Courland Lagoon;Courland Lagoon;;;X;
PROV2481;Coast of Stockholm;Coast of Stockholm;Coast of Stockholm;Coast of Stockholm;Coast of Stockholm;Coast of Stockholm;Coast of Stockholm;Coast of Stockholm;;;X;
PROV2482;Central Baltic Sea;Central Baltic Sea;Central Baltic Sea;Central Baltic Sea;Central Baltic Sea;Central Baltic Sea;Central Baltic Sea;Central Baltic Sea;;;X;
PROV2483;Gulf of Riga;Gulf of Riga;Gulf of Riga;Gulf of Riga;Gulf of Riga;Gulf of Riga;Gulf of Riga;Gulf of Riga;;;X;
PROV2484;Gulf of Finland;Gulf of Finland;Gulf of Finland;Gulf of Finland;Gulf of Finland;Gulf of Finland;Gulf of Finland;Gulf of Finland;;;X;
PROV2485;Suibin;Suibin;Suibin;Suibin;Suibin;Suibin;Suibin;Suibin;;;X;
PROV2486;Qiqihaer;Qiqihaer;Qiqihaer;Qiqihaer;Qiqihaer;Qiqihaer;Qiqihaer;Qiqihaer;;;X;
PROV2487;Fuyu;Fuyu;Fuyu;Fuyu;Fuyu;Fuyu;Fuyu;Fuyu;;;X;
PROV2488;Cerepovec;Cerepovec;Cerepovec;Cerepovec;Cerepovec;Cerepovec;Cerepovec;Cerepovec;;;X;
PROV2489;Southwest Gulf of Bothnia;Southwest Gulf of Bothnia;Southwest Gulf of Bothnia;Southwest Gulf of Bothnia;Southwest Gulf of Bothnia;Southwest Gulf of Bothnia;Southwest Gulf of Bothnia;Southwest Gulf of Bothnia;;;X;
PROV2490;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;;;X;
PROV2491;Southeast Gulf of Bothnia;Southeast Gulf of Bothnia;Southeast Gulf of Bothnia;Southeast Gulf of Bothnia;Southeast Gulf of Bothnia;Southeast Gulf of Bothnia;Southeast Gulf of Bothnia;Southeast Gulf of Bothnia;;;X;
PROV2492;Central Black Sea;Central Black Sea;Central Black Sea;Central Black Sea;Central Black Sea;Central Black Sea;Central Black Sea;Central Black Sea;;;X;
PROV2493;Sea of Crete;Sea of Crete;Sea of Crete;Sea of Crete;Sea of Crete;Sea of Crete;Sea of Crete;Sea of Crete;;;X;
PROV2494;Northwest Gulf of Bothnia;Northwest Gulf of Bothnia;Northwest Gulf of Bothnia;Northwest Gulf of Bothnia;Northwest Gulf of Bothnia;Northwest Gulf of Bothnia;Northwest Gulf of Bothnia;Northwest Gulf of Bothnia;;;X;
PROV2495;Ascension Sea Mounts;Ascension Sea Mounts;Ascension Sea Mounts;Ascension Sea Mounts;Ascension Sea Mounts;Ascension Sea Mounts;Ascension Sea Mounts;Ascension Sea Mounts;;;X;
PROV2496;al-Mausil;al-Mausil;al-Mausil;al-Mausil;al-Mausil;al-Mausil;al-Mausil;al-Mausil;;;X;
PROV2497;Tarapoto;Tarapoto;Tarapoto;Tarapoto;Tarapoto;Tarapoto;Tarapoto;Tarapoto;;;X;
PROV2498;St Helena Sea Mount;St Helena Sea Mount;St Helena Sea Mount;St Helena Sea Mount;St Helena Sea Mount;St Helena Sea Mount;St Helena Sea Mount;St Helena Sea Mount;;;X;
PROV2499;Pernambuco Abyssal plain;Pernambuco Abyssal plain;Pernambuco Abyssal plain;Pernambuco Abyssal plain;Pernambuco Abyssal plain;Pernambuco Abyssal plain;Pernambuco Abyssal plain;Pernambuco Abyssal plain;;;X;
PROV2500;Western Pernambuco Plain;Western Pernambuco Plain;Western Pernambuco Plain;Western Pernambuco Plain;Western Pernambuco Plain;Western Pernambuco Plain;Western Pernambuco Plain;Western Pernambuco Plain;;;X;
PROV2501;Northern Coast of Uruguay Slope;Northern Coast of Uruguay Slope;Northern Coast of Uruguay Slope;Northern Coast of Uruguay Slope;Northern Coast of Uruguay Slope;Northern Coast of Uruguay Slope;Northern Coast of Uruguay Slope;Northern Coast of Uruguay Slope;;;X;
PROV2502;Suixian;Suixian;Suixian;Suixian;Suixian;Suixian;Suixian;Suixian;;;X;
PROV2503;Wudu;Wudu;Wudu;Wudu;Wudu;Wudu;Wudu;Wudu;;;X;
PROV2504;Yinchuan;Yinchuan;Yinchuan;Yinchuan;Yinchuan;Yinchuan;Yinchuan;Yinchuan;;;X;
PROV2505;Ankang;Ankang;Ankang;Ankang;Ankang;Ankang;Ankang;Ankang;;;X;
PROV2506;North Argentine Plain;North Argentine Plain;North Argentine Plain;North Argentine Plain;North Argentine Plain;North Argentine Plain;North Argentine Plain;North Argentine Plain;;;X;
PROV2507;Baoji;Baoji;Baoji;Baoji;Baoji;Baoji;Baoji;Baoji;;;X;
PROV2508;Runan;Runan;Runan;Runan;Runan;Runan;Runan;Runan;;;X;
PROV2509;Annecy;Annecy;Annecy;Annecy;Annecy;Annecy;Annecy;Annecy;;;X;
PROV2510;Brazilian Plain;Brazilian Plain;Brazilian Plain;Brazilian Plain;Brazilian Plain;Brazilian Plain;Brazilian Plain;Brazilian Plain;;;X;
PROV2511;Huaide;Huaide;Huaide;Huaide;Huaide;Huaide;Huaide;Huaide;;;X;
PROV2512;East Ceara Deep Sea Plain;East Ceara Deep Sea Plain;East Ceara Deep Sea Plain;East Ceara Deep Sea Plain;East Ceara Deep Sea Plain;East Ceara Deep Sea Plain;East Ceara Deep Sea Plain;East Ceara Deep Sea Plain;;;X;
PROV2513;Huaiyang;Huaiyang;Huaiyang;Huaiyang;Huaiyang;Huaiyang;Huaiyang;Huaiyang;;;X;
PROV2514;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;;;X;
PROV2515;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;;;X;
PROV2516;Xinxiang;Xinxiang;Xinxiang;Xinxiang;Xinxiang;Xinxiang;Xinxiang;Xinxiang;;;X;
PROV2517;Changzhi;Changzhi;Changzhi;Changzhi;Changzhi;Changzhi;Changzhi;Changzhi;;;X;
PROV2518;Pingding;Pingding;Pingding;Pingding;Pingding;Pingding;Pingding;Pingding;;;X;
PROV2519;Lesser Antilles;Lesser Antilles;Lesser Antilles;Lesser Antilles;Lesser Antilles;Lesser Antilles;Lesser Antilles;Lesser Antilles;;;X;
PROV2520;Xinxian;Xinxian;Xinxian;Xinxian;Xinxian;Xinxian;Xinxian;Xinxian;;;X;
PROV2521;Mona Passage;Mona Passage;Mona Passage;Mona Passage;Mona Passage;Mona Passage;Mona Passage;Mona Passage;;;X;
PROV2522;Heze;Heze;Heze;Heze;Heze;Heze;Heze;Heze;;;X;
PROV2523;Hengshui;Hengshui;Hengshui;Hengshui;Hengshui;Hengshui;Hengshui;Hengshui;;;X;
PROV2524;Windward Passage;Windward Passage;Windward Passage;Windward Passage;Windward Passage;Windward Passage;Windward Passage;Windward Passage;;;X;
PROV2525;Qingyuan;Qingyuan;Qingyuan;Qingyuan;Qingyuan;Qingyuan;Qingyuan;Qingyuan;;;X;
PROV2526;Cangxian;Cangxian;Cangxian;Cangxian;Cangxian;Cangxian;Cangxian;Cangxian;;;X;
PROV2527;Tangshan;Tangshan;Tangshan;Tangshan;Tangshan;Tangshan;Tangshan;Tangshan;;;X;
PROV2528;Liaocheng;Liaocheng;Liaocheng;Liaocheng;Liaocheng;Liaocheng;Liaocheng;Liaocheng;;;X;
PROV2529;Qingdao;Qingdao;Qingdao;Qingdao;Qingdao;Qingdao;Qingdao;Qingdao;;;X;
PROV2530;Weixian;Weixian;Weixian;Weixian;Weixian;Weixian;Weixian;Weixian;;;X;
PROV2531;Linqu;Linqu;Linqu;Linqu;Linqu;Linqu;Linqu;Linqu;;;X;
PROV2532;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;;;X;
PROV2533;Jinan;Jinan;Jinan;Jinan;Jinan;Jinan;Jinan;Jinan;;;X;
PROV2534;Dexian;Dexian;Dexian;Dexian;Dexian;Dexian;Dexian;Dexian;;;X;
PROV2535;Florida Strait;Florida Strait;Florida Strait;Florida Strait;Florida Strait;Florida Strait;Florida Strait;Florida Strait;;;X;
PROV2536;Old Bahama Channel;Old Bahama Channel;Old Bahama Channel;Old Bahama Channel;Old Bahama Channel;Old Bahama Channel;Old Bahama Channel;Old Bahama Channel;;;X;
PROV2537;Crooked Island Passage;Crooked Island Passage;Crooked Island Passage;Crooked Island Passage;Crooked Island Passage;Crooked Island Passage;Crooked Island Passage;Crooked Island Passage;;;X;
PROV2538;Zanzibar;Zanzibar;Zanzibar;Zanzibar;Zanzibar;Zanzibar;Zanzibar;Zanzibar;;;X;
PROV2539;Mayaguana Passage;Mayaguana Passage;Mayaguana Passage;Mayaguana Passage;Mayaguana Passage;Mayaguana Passage;Mayaguana Passage;Mayaguana Passage;;;X;
PROV2540;South Sargasso Sea;South Sargasso Sea;South Sargasso Sea;South Sargasso Sea;South Sargasso Sea;South Sargasso Sea;South Sargasso Sea;South Sargasso Sea;;;X;
PROV2541;Northern Antilles Shelf;Northern Antilles Shelf;Northern Antilles Shelf;Northern Antilles Shelf;Northern Antilles Shelf;Northern Antilles Shelf;Northern Antilles Shelf;Northern Antilles Shelf;;;X;
PROV2542;West Ceara Deep Sea Plain;West Ceara Deep Sea Plain;West Ceara Deep Sea Plain;West Ceara Deep Sea Plain;West Ceara Deep Sea Plain;West Ceara Deep Sea Plain;West Ceara Deep Sea Plain;West Ceara Deep Sea Plain;;;X;
PROV2543;Guiana Basin;Guiana Basin;Guiana Basin;Guiana Basin;Guiana Basin;Guiana Basin;Guiana Basin;Guiana Basin;;;X;
PROV2544;Eastern Guiana Basin;Eastern Guiana Basin;Eastern Guiana Basin;Eastern Guiana Basin;Eastern Guiana Basin;Eastern Guiana Basin;Eastern Guiana Basin;Eastern Guiana Basin;;;X;
PROV2545;Southern South-Central Mid-Atlantic Ridge;Southern South-Central Mid-Atlantic Ridge;Southern South-Central Mid-Atlantic Ridge;Southern South-Central Mid-Atlantic Ridge;Southern South-Central Mid-Atlantic Ridge;Southern South-Central Mid-Atlantic Ridge;Southern South-Central Mid-Atlantic Ridge;Southern South-Central Mid-Atlantic Ridge;;;X;
PROV2546;West Romanche Gap;West Romanche Gap;West Romanche Gap;West Romanche Gap;West Romanche Gap;West Romanche Gap;West Romanche Gap;West Romanche Gap;;;X;
PROV2547;East Romanche Gap;East Romanche Gap;East Romanche Gap;East Romanche Gap;East Romanche Gap;East Romanche Gap;East Romanche Gap;East Romanche Gap;;;X;
PROV2548;Martin Vaz Sea Mounts;Martin Vaz Sea Mounts;Martin Vaz Sea Mounts;Martin Vaz Sea Mounts;Martin Vaz Sea Mounts;Martin Vaz Sea Mounts;Martin Vaz Sea Mounts;Martin Vaz Sea Mounts;;;X;
PROV2549;South Romanche Gap;South Romanche Gap;South Romanche Gap;South Romanche Gap;South Romanche Gap;South Romanche Gap;South Romanche Gap;South Romanche Gap;;;X;
PROV2550;Bazhong;Bazhong;Bazhong;Bazhong;Bazhong;Bazhong;Bazhong;Bazhong;;;X;
PROV2551;Chóngqing;Chóngqing;Chóngqing;Chóngqing;Chóngqing;Chóngqing;Chóngqing;Chóngqing;;;X;
PROV2552;San Juan Shoals;San Juan Shoals;San Juan Shoals;San Juan Shoals;San Juan Shoals;San Juan Shoals;San Juan Shoals;San Juan Shoals;;;X;
PROV2553;Peru Basin;Peru Basin;Peru Basin;Peru Basin;Peru Basin;Peru Basin;Peru Basin;Peru Basin;;;X;
PROV2554;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;;;X;
PROV2555;Évreux;Évreux;Évreux;Évreux;Évreux;Évreux;Évreux;Évreux;;;X;
PROV2556;Jiangdu;Jiangdu;Jiangdu;Jiangdu;Jiangdu;Jiangdu;Jiangdu;Jiangdu;;;X;
PROV2557;Dijon;Dijon;Dijon;Dijon;Dijon;Dijon;Dijon;Dijon;;;X;
PROV2558;Chuxian;Chuxian;Chuxian;Chuxian;Chuxian;Chuxian;Chuxian;Chuxian;;;X;
PROV2559;Leshan;Leshan;Leshan;Leshan;Leshan;Leshan;Leshan;Leshan;;;X;
PROV2560;Xuyong;Xuyong;Xuyong;Xuyong;Xuyong;Xuyong;Xuyong;Xuyong;;;X;
PROV2561;Pengshui;Pengshui;Pengshui;Pengshui;Pengshui;Pengshui;Pengshui;Pengshui;;;X;
PROV2562;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;;;X;
PROV2563;East Hawaiian Rise;East Hawaiian Rise;East Hawaiian Rise;East Hawaiian Rise;East Hawaiian Rise;East Hawaiian Rise;East Hawaiian Rise;East Hawaiian Rise;;;X;
PROV2564;Central Clarion Fracture Zone;Central Clarion Fracture Zone;Central Clarion Fracture Zone;Central Clarion Fracture Zone;Central Clarion Fracture Zone;Central Clarion Fracture Zone;Central Clarion Fracture Zone;Central Clarion Fracture Zone;;;X;
PROV2565;East Clarion Fracture Zone;East Clarion Fracture Zone;East Clarion Fracture Zone;East Clarion Fracture Zone;East Clarion Fracture Zone;East Clarion Fracture Zone;East Clarion Fracture Zone;East Clarion Fracture Zone;;;X;
PROV2566;East Pacific Rise;East Pacific Rise;East Pacific Rise;East Pacific Rise;East Pacific Rise;East Pacific Rise;East Pacific Rise;East Pacific Rise;;;X;
PROV2567;Fuliang;Fuliang;Fuliang;Fuliang;Fuliang;Fuliang;Fuliang;Fuliang;;;X;
PROV2568;Suichuan;Suichuan;Suichuan;Suichuan;Suichuan;Suichuan;Suichuan;Suichuan;;;X;
PROV2569;Nanchang;Nanchang;Nanchang;Nanchang;Nanchang;Nanchang;Nanchang;Nanchang;;;X;
PROV2570;Quzhou;Quzhou;Quzhou;Quzhou;Quzhou;Quzhou;Quzhou;Quzhou;;;X;
PROV2571;Jiaxing;Jiaxing;Jiaxing;Jiaxing;Jiaxing;Jiaxing;Jiaxing;Jiaxing;;;X;
PROV2572;Lishui;Lishui;Lishui;Lishui;Lishui;Lishui;Lishui;Lishui;;;X;
PROV2573;Xiuning;Xiuning;Xiuning;Xiuning;Xiuning;Xiuning;Xiuning;Xiuning;;;X;
PROV2574;Tóngling;Tóngling;Tóngling;Tóngling;Tóngling;Tóngling;Tóngling;Tóngling;;;X;
PROV2575;Panama Canal;Panama Canal;Panama Canal;Panama Canal;Panama Canal;Panama Canal;Panama Canal;Panama Canal;;;X;
PROV2576;Tongxian;Tongxian;Tongxian;Tongxian;Tongxian;Tongxian;Tongxian;Tongxian;;;X;
PROV2577;Southern Antilles Shelf;Southern Antilles Shelf;Southern Antilles Shelf;Southern Antilles Shelf;Southern Antilles Shelf;Southern Antilles Shelf;Southern Antilles Shelf;Southern Antilles Shelf;;;X;
PROV2578;Grand Cayman;Grand Cayman;Grand Cayman;Grand Cayman;Grand Cayman;Grand Cayman;Grand Cayman;Grand Cayman;;;X;
PROV2579;Cuba Deep;Cuba Deep;Cuba Deep;Cuba Deep;Cuba Deep;Cuba Deep;Cuba Deep;Cuba Deep;;;X;
PROV2580;FreeTown Slope;FreeTown Slope;FreeTown Slope;FreeTown Slope;FreeTown Slope;FreeTown Slope;FreeTown Slope;FreeTown Slope;;;X;
PROV2581;Andorra la Vella;Andorra la Vella;Andorra la Vella;Andorra la Vella;Andorra la Vella;Andorra la Vella;Andorra la Vella;Andorra la Vella;;;X;
PROV2582;East Angola Plain;East Angola Plain;East Angola Plain;East Angola Plain;East Angola Plain;East Angola Plain;East Angola Plain;East Angola Plain;;;X;
PROV2583;Monaco;Monaco;Monaco;Monaco;Monaco;Monaco;Monaco;Monaco;;;X;
PROV2584;North Somali Basin;North Somali Basin;North Somali Basin;North Somali Basin;North Somali Basin;North Somali Basin;North Somali Basin;North Somali Basin;;;X;
PROV2585;East Arabian Basin;East Arabian Basin;East Arabian Basin;East Arabian Basin;East Arabian Basin;East Arabian Basin;East Arabian Basin;East Arabian Basin;;;X;
PROV2586;Kavaratti Sea;Kavaratti Sea;Kavaratti Sea;Kavaratti Sea;Kavaratti Sea;Kavaratti Sea;Kavaratti Sea;Kavaratti Sea;;;X;
PROV2587;North Chagos-Laccadive Plateau;North Chagos-Laccadive Plateau;North Chagos-Laccadive Plateau;North Chagos-Laccadive Plateau;North Chagos-Laccadive Plateau;North Chagos-Laccadive Plateau;North Chagos-Laccadive Plateau;North Chagos-Laccadive Plateau;;;X;
PROV2588;Java Trench;Java Trench;Java Trench;Java Trench;Java Trench;Java Trench;Java Trench;Java Trench;;;X;
PROV2589;Ishinomaki Bay;Ishinomaki Bay;Ishinomaki Bay;Ishinomaki Bay;Ishinomaki Bay;Ishinomaki Bay;Ishinomaki Bay;Ishinomaki Bay;;;X;
PROV2590;Silkhote Alin Coast;Silkhote Alin Coast;Silkhote Alin Coast;Silkhote Alin Coast;Silkhote Alin Coast;Silkhote Alin Coast;Silkhote Alin Coast;Silkhote Alin Coast;;;X;
PROV2591;South Tasman Sea;South Tasman Sea;South Tasman Sea;South Tasman Sea;South Tasman Sea;South Tasman Sea;South Tasman Sea;South Tasman Sea;;;X;
PROV2592;Dibrugarh;Dibrugarh;Dibrugarh;Dibrugarh;Dibrugarh;Dibrugarh;Dibrugarh;Dibrugarh;;;X;
PROV2593;Madeiran Approach;Madeiran Approach;Madeiran Approach;Madeiran Approach;Madeiran Approach;Madeiran Approach;Madeiran Approach;Madeiran Approach;;;X;
PROV2594;East Cap Verde Approach;East Cap Verde Approach;East Cap Verde Approach;East Cap Verde Approach;East Cap Verde Approach;East Cap Verde Approach;East Cap Verde Approach;East Cap Verde Approach;;;X;
PROV2595;North Iberian Shelf;North Iberian Shelf;North Iberian Shelf;North Iberian Shelf;North Iberian Shelf;North Iberian Shelf;North Iberian Shelf;North Iberian Shelf;;;X;
PROV2596;East Biscaya Basin;East Biscaya Basin;East Biscaya Basin;East Biscaya Basin;East Biscaya Basin;East Biscaya Basin;East Biscaya Basin;East Biscaya Basin;;;X;
PROV2597;Tübingen;Tübingen;Tübingen;Tübingen;Tübingen;Tübingen;Tübingen;Tübingen;;;X;
PROV2598;Central Faroes Gap;Central Faroes Gap;Central Faroes Gap;Central Faroes Gap;Central Faroes Gap;Central Faroes Gap;Central Faroes Gap;Central Faroes Gap;;;X;
PROV2599;Southeast Faroes Gap;Southeast Faroes Gap;Southeast Faroes Gap;Southeast Faroes Gap;Southeast Faroes Gap;Southeast Faroes Gap;Southeast Faroes Gap;Southeast Faroes Gap;;;X;
PROV2600;East Central North Sea;East Central North Sea;East Central North Sea;East Central North Sea;East Central North Sea;East Central North Sea;East Central North Sea;East Central North Sea;;;X;
PROV2601;North Norwegian Sea;North Norwegian Sea;North Norwegian Sea;North Norwegian Sea;North Norwegian Sea;North Norwegian Sea;North Norwegian Sea;North Norwegian Sea;;;X;
PROV2602;Resita;Resita;Resita;Resita;Resita;Resita;Resita;Resita;;;X;
PROV2603;Turnu Severin;Turnu Severin;Turnu Severin;Turnu Severin;Turnu Severin;Turnu Severin;Turnu Severin;Turnu Severin;;;X;
PROV2604;Galati;Galati;Galati;Galati;Galati;Galati;Galati;Galati;;;X;
PROV2605;Cahul;Cahul;Cahul;Cahul;Cahul;Cahul;Cahul;Cahul;;;X;
PROV2606;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;;;X;
PROV2607;Trebinje;Trebinje;Trebinje;Trebinje;Trebinje;Trebinje;Trebinje;Trebinje;;;X;
PROV2608;Pljevlja;Pljevlja;Pljevlja;Pljevlja;Pljevlja;Pljevlja;Pljevlja;Pljevlja;;;X;
PROV2609;Kosovska Mitrovica;Kosovska Mitrovica;Kosovska Mitrovica;Kosovska Mitrovica;Kosovska Mitrovica;Kosovska Mitrovica;Kosovska Mitrovica;Kosovska Mitrovica;;;X;
PROV2610;Xanthi;Xanthi;Xanthi;Xanthi;Xanthi;Xanthi;Xanthi;Xanthi;;;X;
PROV2611;Izmir;Izmir;Izmir;Izmir;Izmir;Izmir;Izmir;Izmir;;;X;
PROV2612;Lovech;Lovech;Lovech;Lovech;Lovech;Lovech;Lovech;Lovech;;;X;
PROV2613;Gelibolu;Gelibolu;Gelibolu;Gelibolu;Gelibolu;Gelibolu;Gelibolu;Gelibolu;;;X;
PROV2614;Armavir;Armavir;Armavir;Armavir;Armavir;Armavir;Armavir;Armavir;;;X;
PROV2615;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;Pjatigorsk;;;X;
PROV2616;Eger;Eger;Eger;Eger;Eger;Eger;Eger;Eger;;;X;
PROV2617;Almeria;Almeria;Almeria;Almeria;Almeria;Almeria;Almeria;Almeria;;;X;
PROV2618;Jaen;Jaen;Jaen;Jaen;Jaen;Jaen;Jaen;Jaen;;;X;
PROV2619;Mahón;Mahón;Mahón;Mahón;Mahón;Mahón;Mahón;Mahón;;;X;
PROV2620;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;;;X;
PROV2621;Bari;Bari;Bari;Bari;Bari;Bari;Bari;Bari;;;X;
PROV2622;Salerno;Salerno;Salerno;Salerno;Salerno;Salerno;Salerno;Salerno;;;X;
PROV2623;Brescia;Brescia;Brescia;Brescia;Brescia;Brescia;Brescia;Brescia;;;X;
PROV2624;Verona;Verona;Verona;Verona;Verona;Verona;Verona;Verona;;;X;
PROV2625;Argostoli;Argostoli;Argostoli;Argostoli;Argostoli;Argostoli;Argostoli;Argostoli;;;X;
PROV2626;Valence;Valence;Valence;Valence;Valence;Valence;Valence;Valence;;;X;
PROV2627;Fulda;Fulda;Fulda;Fulda;Fulda;Fulda;Fulda;Fulda;;;X;
PROV2628;Bielsko;Bielsko;Bielsko;Bielsko;Bielsko;Bielsko;Bielsko;Bielsko;;;X;
PROV2629;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;;;X;
PROV2630;Kirkkonummi;Kirkkonummi;Kirkkonummi;Kirkkonummi;Kirkkonummi;Kirkkonummi;Kirkkonummi;Kirkkonummi;;;X;
PROV2631;Salla;Salla;Salla;Salla;Salla;Salla;Salla;Salla;;;X;
PROV2632;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;;;X;
PROV2633;Hala'ib;Hala'ib;Hala'ib;Hala'ib;Hala'ib;Hala'ib;Hala'ib;Hala'ib;;;X;
PROV2634;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;;;X;
PROV2635;Garoowe;Garoowe;Garoowe;Garoowe;Garoowe;Garoowe;Garoowe;Garoowe;;;X;
PROV2636;Diu;Diu;Diu;Diu;Diu;Diu;Diu;Diu;;;X;
PROV2637;Daman;Daman;Daman;Daman;Daman;Daman;Daman;Daman;;;X;
PROV2638;Mayyazhi;Mayyazhi;Mayyazhi;Mayyazhi;Mayyazhi;Mayyazhi;Mayyazhi;Mayyazhi;;;X;
PROV2639;Karaikkal;Karaikkal;Karaikkal;Karaikkal;Karaikkal;Karaikkal;Karaikkal;Karaikkal;;;X;
PROV2640;Yanam;Yanam;Yanam;Yanam;Yanam;Yanam;Yanam;Yanam;;;X;
PROV2641;Allahabad;Allahabad;Allahabad;Allahabad;Allahabad;Allahabad;Allahabad;Allahabad;;;X;
PROV2642;Varanasi;Varanasi;Varanasi;Varanasi;Varanasi;Varanasi;Varanasi;Varanasi;;;X;
PROV2643;Walvis Bay;Walvis Bay;Walvis Bay;Walvis Bay;Walvis Bay;Walvis Bay;Walvis Bay;Walvis Bay;;;X;
PROV2644;East London;East London;East London;East London;East London;East London;East London;East London;;;X;
PROV2645;Daloa;Daloa;Daloa;Daloa;Daloa;Daloa;Daloa;Daloa;;;X;
PROV2646;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;;;X;
PROV2647;Marienburg;Marienburg;Marienburg;Marienburg;Marienburg;Marienburg;Marienburg;Marienburg;;;X;
PROV2648;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;;;X;
PROV2649;Puerto Barrios;Puerto Barrios;Puerto Barrios;Puerto Barrios;Puerto Barrios;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;X;
PROV2650;San Pedro Sula;San Pedro Sula;San Pedro Sula;San Pedro Sula;San Pedro Sula;San Pedro Sula;San Pedro Sula;San Pedro Sula;;;X;
PROV2651;Bluefields;Bluefields;Bluefields;Bluefields;Bluefields;Bluefields;Bluefields;Bluefields;;;X;
